"TID","RU"
"TID_MEGA_QUEST_INFO_COMPLETED","TEST"
"TID_RANK_POPUP_QUESTS","TEST"
"TID_RANK_POPUP_CLUB_FEATURE","TEST"
"TID_BRAWL_PASS_POPUP_TITLE","TEST"
"TID_BRAWL_PASS_POPUP_INFO","TEST"
"TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON","TEST"
"TID_BRAWL_PASS_PREVIOUS_SEASON","TEST"
"TID_BRAWL_PASS_PREVIOUS_SEASON_INFO","TEST"
"TID_BRAWL_PASS_UNLOCK_INFO","TEST"
"TID_BRAWL_PASS_UNLOCK_LABEL","TEST"
"TID_BRAWLPASS_PURCHASE_ERROR_3","TEST"
"TID_BRAWLPASS_PURCHASE_ERROR_4","TEST"
"TID_BRAWLPASS_PURCHASE_ERROR_5","TEST"
"TID_BRAWLPASS_PURCHASE_ERROR_6","TEST"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE","TEST"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO","TEST"
"TID_PURCHASE_BRAWL_PASS_TITLE","TEST"
"TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN","TEST"
"TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE","TEST"
"TID_PURCHASE_BRAWL_PASS_INFO_PLAIN","TEST"
"TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE","TEST"
"TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON","TEST"
"TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND","TEST"
"TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED","TEST"
"TID_TAKEDOWNS_LABEL","TEST"
"TID_DEFEAT_LABEL","TEST"
"TID_UNDERDOG","TEST"
"TID_ACCESSORY","TEST"
"TID_BATTLE_END_COIN_SHOWER","TEST"
"TID_BATTLE_END_CC_SHOWER","TEST"
"TID_LFG_POPUP_TITLE_MEMBER","TEST"
"TID_LFG_POPUP_TITLE_TEAM","TEST"
"TID_LFG_POPUP_INFO_MEMBER","TEST"
"TID_LFG_POPUP_INFO_TEAM","TEST"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","TEST"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","TEST"
"TID_LFG_POPUP_START_SEARCH","TEST"
"TID_LFG_NO_ROOM_FOR_PLAYERS","TEST"
"TID_LFG_NOT_AVAILABLE_FOR_MODE","TEST"
"TID_LOOKING_FOR_A_TEAM","TEST"
"TID_LOOKING_FOR_A_MEMBER","TEST"
"TID_CC_TEASER_TITLE","TEST"
"TID_CC_TEASER_INFO","TEST"
"TID_CC_POPUP_TITLE","TEST"
"TID_CC_POPUP_1_TITLE","TEST"
"TID_CC_POPUP_TITLE_PSG_21","TEST"
"TID_CC_POPUP_DESC","TEST"
"TID_CC_POPUP_1_DESC","TEST"
"TID_CC_POPUP_WINS","TEST"
"TID_CC_POPUP_WINS_FOR_EVENT","TEST"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","TEST"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","TEST"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","TEST"
"TID_CC_POPUP_QUALIFY_INFO","TEST"
"TID_CC_POPUP_QUALIFY_INFO_PSG","TEST"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","TEST"
"TID_CC_POPUP_CHALLENGE_OVER","TEST"
"TID_CC_POPUP_OUT_OF_LIVES","TEST"
"TID_CC_POPUP_BUY_LIVES","TEST"
"TID_CC_POPUP_COMPLETED","TEST"
"TID_CC_POPUP_LEVEL","TEST"
"TID_CC_POPUP_WIN","TEST"
"TID_CC_POPUP_LOSSES","TEST"
"TID_QUALIFIED_TITLE","TEST"
"TID_QUALIFIED_INFO","TEST"
"TID_QUALIFIED_INFO_HUB","TEST"
"TID_QUALIFIED_INFO_PSG","TEST"
"TID_QUALIFIED_GO","TEST"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","TEST"
"TID_BATTLE_END_CC_WIN_LABEL","TEST"
"TID_BATTLE_END_CC_DEFEAT_0","TEST"
"TID_BATTLE_END_CC_DEFEAT_1","TEST"
"TID_BATTLE_END_CC_DEFEAT_2","TEST"
"TID_BATTLE_END_CC_DRAW_DESC","TEST"
"TID_BATTLE_END_CC_QUALIFY_LABEL","TEST"
"TID_BATTLE_END_CC_QUALIFY_INFO","TEST"
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","TEST"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","TEST"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","TEST"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","TEST"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","TEST"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","TEST"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","TEST"
"TID_PRO_LEAGUE_SEASON_END_TIME","TEST"
"TID_PRO_LEAGUE_POPUP_TITLE","TEST"
"TID_EVENT_LABEL_PRO_LEAGUE","TEST"
"TID_PRO_LEAGUE_POPUP_INFO","TEST"
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","TEST"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","TEST"
"TID_PRO_LEAGUE_LABEL","TEST"
"TID_TEAM_ERROR_38","TEST"
"TID_TEAM_ERROR_39","TEST"
"TID_PRO_LEAGUE_GAMES","TEST"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","TEST"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","TEST"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","TEST"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","TEST"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","TEST"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","TEST"
"TID_OVERWHELMING_VICTORY_GMV_0","TEST"
"TID_OVERWHELMING_VICTORY_GMV_5","TEST"
"TID_OVERWHELMING_VICTORY_GMV_2","TEST"
"TID_OVERWHELMING_VICTORY_GMV_11","TEST"
"TID_OVERWHELMING_VICTORY_GMV_3","TEST"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","TEST"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","TEST"
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","TEST"
"TID_DOUBLE_TOKEN_WEEKEND","TEST"
"TID_COIN_SHOWER_EVENT","TEST"
"TID_CHROMA_CREDITS_SHOWER_EVENT","TEST"
"TID_MASTERY_POINTS_BOOST_EVENT","TEST"
"TID_SKINS_TITLE","TEST"
"TID_SKINS_BUTTON_LABEL","TEST"
"TID_SKIN_PREVIEW","TEST"
"TID_DEFAULT_SKIN","TEST"
"TID_HERO_LVL_UP_MATERIAL","TEST"
"TID_TOKENS","TEST"
"TID_FIRST_WINS","TEST"
"TID_CLUB_COINS","TEST"
"TID_BUTTON_INBOX","TEST"
"TID_INBOX_TITLE","TEST"
"TID_INBOX_SYSTEM_SENDER","TEST"
"TID_INBOX_SUPPORT_SENDER","TEST"
"TID_INBOX_BRAWLSTARS_SENDER","TEST"
"TID_INBOX_AGE","TEST"
"TID_INBOX_CLAIM","TEST"
"TID_INBOX_VIEW","TEST"
"TID_INBOX_TAB_0","TEST"
"TID_INBOX_TAB_1","TEST"
"TID_INBOX_NO_ENTRIES","TEST"
"TID_INBOX_CAPTION_101","TEST"
"TID_INBOX_CAPTION_100","TEST"
"TID_INBOX_CAPTION_99","TEST"
"TID_INBOX_CAPTION_94","TEST"
"TID_INBOX_CAPTION_93","TEST"
"TID_INBOX_CAPTION_93_WITH_LEVEL","TEST"
"TID_INBOX_CAPTION_92","TEST"
"TID_INBOX_CAPTION_91","TEST"
"TID_INBOX_CAPTION_90","TEST"
"TID_INBOX_CAPTION_89","TEST"
"TID_INBOX_CAPTION_88","TEST"
"TID_INBOX_CAPTION_85","TEST"
"TID_INBOX_CAPTION_84_4","TEST"
"TID_INBOX_CAPTION_84_5","TEST"
"TID_INBOX_CAPTION_84_6","TEST"
"TID_INBOX_CAPTION_78","TEST"
"TID_INBOX_CAPTION_76","TEST"
"TID_INBOX_CAPTION_75","TEST"
"TID_INBOX_CAPTION_74","TEST"
"TID_INBOX_CAPTION_73","TEST"
"TID_INBOX_CAPTION_72_52","TEST"
"TID_INBOX_CAPTION_71","TEST"
"TID_INBOX_CAPTION_70","TEST"
"TID_INBOX_CAPTION_64","TEST"
"TID_INBOX_CAPTION_DONATION","TEST"
"TID_INBOX_NEW","TEST"
"TID_BAND_MAIL_POPUP_TITLE","TEST"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","TEST"
"TID_BAND_MAIL_POPUP_POST","TEST"
"TID_BAND_MAIL_POPUP_NO_MSG","TEST"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","TEST"
"TID_REVOKE_TITLE","TEST"
"TID_REVOKE_OK","TEST"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","TEST"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","TEST"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","TEST"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","TEST"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","TEST"
"TID_BATTLE_LOG_TVST_RESULT_0","TEST"
"TID_BATTLE_LOG_TVST_RESULT_1","TEST"
"TID_BATTLE_LOG_TVST_RESULT_2","TEST"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","TEST"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","TEST"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","TEST"
"TID_BATTLE_LOG_AGE","TEST"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","TEST"
"TID_BATTLE_LOG_TVST_VERSUS","TEST"
"TID_BATTLE_LOG_TITLE","TEST"
"TID_BATTLE_LOG_REPLAY","TEST"
"TID_BATTLE_LOG_MVP","TEST"
"TID_BATTLE_LOG_FRIENDLY","TEST"
"TID_BATTLE_LOG_TOURNAMENT","TEST"
"TID_BATTLE_LOG_PVP","TEST"
"TID_BATTLE_LOG_PRO_LEAGUE","TEST"
"TID_BATTLE_LOG_RANKED","TEST"
"TID_BATTLE_LOG_NO_ENTRIES","TEST"
"TID_BATTLE_LOG_THIS_IS_A_BOT","TEST"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","TEST"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","TEST"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","TEST"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","TEST"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","TEST"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","TEST"
"TID_PLAYER_RANK_TIER_0","TEST"
"TID_PLAYER_RANK_TIER_1","TEST"
"TID_PLAYER_RANK_TIER_2","TEST"
"TID_PLAYER_RANK_TIER_3","TEST"
"TID_PLAYER_RANK_TIER_4","TEST"
"TID_PLAYER_RANK_TIER_5","TEST"
"TID_ADD_FRIEND_FAILED","TEST"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","TEST"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","TEST"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","TEST"
"TID_ADD_FRIEND_FAILED_BANNED","TEST"
"TID_KEYPOOL_KEYS_REMAINING","TEST"
"TID_KEYPOOL_NEXT_PATCH","TEST"
"TID_TOP_HUD_NEXT_REWARD","TEST"
"TID_RANK_UP_REWARD_REPLACED_TITLE","TEST"
"TID_RANK_UP_REWARD_REPLACED_POWER","TEST"
"TID_RANK_UP_REWARD_REPLACED_HERO","TEST"
"TID_RANK_UP_REWARD_REPLACED_PIN","TEST"
"TID_RANK_UP_REWARD_REPLACED_SKIN","TEST"
"TID_RANK_UP_REWARD_REPLACED_GEN","TEST"
"TID_RANK_UP_REWARD_REPLACED_POWER_POINTS","TEST"
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","TEST"
"TID_PLAYER_INFO_REMOVE_FRIEND","TEST"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","TEST"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","TEST"
"TID_POWER_POINTS","TEST"
"TID_HERO_INFO_LEVEL","TEST"
"TID_HERO_INFO_LEVEL_LONG","TEST"
"TID_HERO_INFO_RANK","TEST"
"TID_HERO_TIER_MAX","TEST"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","TEST"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","TEST"
"TID_HERO_INFO_MAX_LEVEL","TEST"
"TID_HERO_INFO_MORE_POWER_NEEDED","TEST"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","TEST"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","TEST"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","TEST"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","TEST"
"TID_HERO_INFO_LEVEL_UP_PRICE","TEST"
"TID_HERO_INFO_STARTING_HERO","TEST"
"TID_HERO_INFO_STAR_POWER_EQUIP","TEST"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","TEST"
"TID_CHOOSE_CHARACTER","TEST"
"TID_ARMOR","TEST"
"TID_ARMOR_DESC","TEST"
"TID_SHOTGUN_GIRL","TEST"
"TID_SHOTGUN_GIRL_DESC","TEST"
"TID_LONG_RANGE_SHOTGUN","TEST"
"TID_LONG_RANGE_SHOTGUN_DESC","TEST"
"TID_MEGA_BLASH_ULTI","TEST"
"TID_MEGA_BLASH_ULTI_DESC","TEST"
"TID_GUNSLINGER","TEST"
"TID_GUNSLINGER_DESC","TEST"
"TID_RAPID_FIRE","TEST"
"TID_RAPID_FIRE_DESC","TEST"
"TID_RAPID_FIRE_ULTI","TEST"
"TID_RAPID_FIRE_ULTI_DESC","TEST"
"TID_BULL_DUDE","TEST"
"TID_BULL_DUDE_DESC","TEST"
"TID_SHOTGUN_BLAST","TEST"
"TID_SHOTGUN_BLAST_DESC","TEST"
"TID_CHARGE","TEST"
"TID_CHARGE_DESC","TEST"
"TID_ROCKET_GIRL","TEST"
"TID_ROCKET_GIRL_DESC","TEST"
"TID_FIREWORKS_WEAPON","TEST"
"TID_FIREWORKS_WEAPON_DESC","TEST"
"TID_FIREWORKS_ULTI","TEST"
"TID_FIREWORKS_ULTI_DESC","TEST"
"TID_TNT_DUDE","TEST"
"TID_TNT_DUDE_DESC","TEST"
"TID_MORTAR","TEST"
"TID_MORTAR_DESC","TEST"
"TID_MORTAR_ULTI","TEST"
"TID_MORTAR_ULTI_DESC","TEST"
"TID_LUCHADOR","TEST"
"TID_LUCHADOR_DESC","TEST"
"TID_LUCHADOR_WEAPON","TEST"
"TID_LUCHADOR_WEAPON_DESC","TEST"
"TID_LUCHADOR_ULTI","TEST"
"TID_LUCHADOR_ULTI_DESC","TEST"
"TID_TRICKSHOT_DUDE_OLD","TEST"
"TID_TRICKSHOT_DUDE_DESC","TEST"
"TID_TRICKSHOT_DUDE_WEAPON","TEST"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","TEST"
"TID_TRICKSHOT_DUDE_ULTI","TEST"
"TID_TRICKSHOT_DUDE_ULTI_DESC","TEST"
"TID_CACTUS","TEST"
"TID_CACTUS_DESC","TEST"
"TID_CACTUS_WEAPON","TEST"
"TID_CACTUS_WEAPON_DESC","TEST"
"TID_CACTUS_ULTI","TEST"
"TID_CACTUS_ULTI_DESC","TEST"
"TID_BARKEEP","TEST"
"TID_BARKEEP_DESC","TEST"
"TID_BARKEEP_WEAPON","TEST"
"TID_BARKEEP_WEAPON_DESC","TEST"
"TID_BARKEEP_ULTI","TEST"
"TID_BARKEEP_ULTI_DESC","TEST"
"TID_MECHANIC","TEST"
"TID_MECHANIC_DESC","TEST"
"TID_MECHANIC_WEAPON","TEST"
"TID_MECHANIC_WEAPON_DESC","TEST"
"TID_MECHANIC_ULTI","TEST"
"TID_MECHANIC_ULTI_DESC","TEST"
"TID_SHAMAN","TEST"
"TID_SHAMAN_DESC","TEST"
"TID_SHAMAN_WEAPON","TEST"
"TID_SHAMAN_WEAPON_DESC","TEST"
"TID_SHAMAN_ULTI","TEST"
"TID_SHAMAN_ULTI_DESC","TEST"
"TID_UNDERTAKER","TEST"
"TID_UNDERTAKER_DESC","TEST"
"TID_UNDERTAKER_WEAPON","TEST"
"TID_UNDERTAKER_WEAPON_DESC","TEST"
"TID_UNDERTAKER_ULTI","TEST"
"TID_UNDERTAKER_ULTI_DESC","TEST"
"TID_CROW","TEST"
"TID_CROW_DESC","TEST"
"TID_CROW_WEAPON","TEST"
"TID_CROW_WEAPON_DESC","TEST"
"TID_CROW_ULTI","TEST"
"TID_CROW_ULTI_DESC","TEST"
"TID_DEAD_MARIACHI","TEST"
"TID_DEAD_MARIACHI_DESC","TEST"
"TID_DEAD_MARIACHI_WEAPON","TEST"
"TID_DEAD_MARIACHI_WEAPON_DESC","TEST"
"TID_DEAD_MARIACHI_ULTI","TEST"
"TID_DEAD_MARIACHI_ULTI_DESC","TEST"
"TID_BOW_DUDE","TEST"
"TID_BOW_DUDE_DESC","TEST"
"TID_BOW_DUDE_WEAPON","TEST"
"TID_BOW_DUDE_WEAPON_DESC","TEST"
"TID_BOW_DUDE_ULTI","TEST"
"TID_BOW_DUDE_ULTI_DESC","TEST"
"TID_BOW_DUDE_OVERCHARGE","TEST"
"TID_BOW_DUDE_OVERCHARGE_DESC","TEST"
"TID_SNIPER","TEST"
"TID_SNIPER_DESC","TEST"
"TID_SNIPER_WEAPON","TEST"
"TID_SNIPER_WEAPON_DESC","TEST"
"TID_SNIPER_ULTI","TEST"
"TID_SNIPER_ULTI_DESC","TEST"
"TID_MINIGUN_DUDE","TEST"
"TID_MINIGUN_DUDE_DESC","TEST"
"TID_MINIGUN_DUDE_WEAPON","TEST"
"TID_MINIGUN_DUDE_WEAPON_DESC","TEST"
"TID_MINIGUN_DUDE_ULTI","TEST"
"TID_MINIGUN_DUDE_ULTI_DESC","TEST"
"TID_BONE_THROWER","TEST"
"TID_BONE_THROWER_DESC","TEST"
"TID_BONE_THROWER_WEAPON","TEST"
"TID_BONE_THROWER_WEAPON_DESC","TEST"
"TID_BONE_THROWER_ULTI","TEST"
"TID_BONE_THROWER_ULTI_DESC","TEST"
"TID_BLACK_HOLE","TEST"
"TID_BLACK_HOLE_DESC","TEST"
"TID_BLACK_HOLE_WEAPON","TEST"
"TID_BLACK_HOLE_WEAPON_DESC","TEST"
"TID_BLACK_HOLE_ULTI","TEST"
"TID_BLACK_HOLE_ULTI_DESC","TEST"
"TID_TURRET_DAMAGE","TEST"
"TID_TURRET_HEALTH","TEST"
"TID_STAT_DAMAGE_PER_SECOND","TEST"
"TID_STAT_DAMAGE_PER_SECOND_EACH","TEST"
"TID_STAT_DAMAGE_PER_STRIKE","TEST"
"TID_ROBOT","TEST"
"TID_ROBOT_DESC","TEST"
"TID_ROBOT_WEAPON","TEST"
"TID_ROBOT_WEAPON_DESC","TEST"
"TID_ROBOT_ULTI","TEST"
"TID_ROBOT_ULTI_DESC","TEST"
"TID_ARMOR_STAT","TEST"
"TID_HEALTH","TEST"
"TID_STAT_GRENADE_DAMAGE","TEST"
"TID_STAT_MISSILE_DAMAGE","TEST"
"TID_STAT_HEALTH","TEST"
"TID_STAT_SPEED","TEST"
"TID_STAT_DAMAGE","TEST"
"TID_STAT_DAMAGE_SPECIAL_TARGETS","TEST"
"TID_STAT_DAMAGE_PER_SHOT","TEST"
"TID_STAT_DAMAGE_PER_SHELL","TEST"
"TID_STAT_HAMMER_DAMAGE","TEST"
"TID_STAT_DAMAGE_OR_HEAL","TEST"
"TID_HERO_INFO_MAX_BOUNCES","TEST"
"TID_HERO_INFO_HEAL_REDUCTION","TEST"
"TID_BATTLE","TEST"
"TID_QUIT","TEST"
"TID_MATCHMAKING_QUIT","TEST"
"TID_MATCHMAKING_HEADING","TEST"
"TID_MATCHMAKING_HEADING_TUTORIAL","TEST"
"TID_MATCHMAKING_TIME_LABEL","TEST"
"TID_MATCHMAKING_PLAYERS","TEST"
"TID_BUTTON_CANCEL","TEST"
"TID_BUTTON_OK","TEST"
"TID_ENTER_NAME_TITLE","TEST"
"TID_ENTER_NAME_BODY","TEST"
"TID_TIME_DAYS","TEST"
"TID_TIME_HOURS","TEST"
"TID_TIME_MINS","TEST"
"TID_TIME_SECS","TEST"
"TID_TIME_MONTHS","TEST"
"TID_MATCHMAKING_TIME","TEST"
"TID_SUPERCELL_ID_TITLE","TEST"
"TID_SUPERCELL_ID_BUTTON_CONNECTED","TEST"
"TID_SUPERCELL_ID_BUTTON_DISCONNECTED","TEST"
"TID_SUPERCELL_ID_LOGIN_BUTTON","TEST"
"TID_SUPERCELL_ID_NEW_GAME_BUTTON","TEST"
"TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID","TEST"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","TEST"
"TID_ERROR_POP_UP_OUT_OF_SYNC","TEST"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","TEST"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","TEST"
"TID_ERROR_POP_UP_CONNECTION_FAILED","TEST"
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","TEST"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","TEST"
"TID_ERROR_POP_UP_LOGIN_FAILED","TEST"
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","TEST"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","TEST"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","TEST"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","TEST"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","TEST"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","TEST"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","TEST"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","TEST"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","TEST"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","TEST"
"TID_ERROR_POP_UP_BANNED_TITLE","TEST"
"TID_ERROR_POP_UP_BANNED","TEST"
"TID_ERROR_POP_UP_BANNED_BUTTON","TEST"
"TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS","TEST"
"TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON","TEST"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","TEST"
"TID_INFO_POP_UP_IAP_NOTE","TEST"
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","TEST"
"TID_SERVER_ERROR_TITLE","TEST"
"TID_SERVER_ERROR","TEST"
"TID_SERVER_ERROR_BUTTON","TEST"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","TEST"
"TID_ERROR_POP_UP_CONNECTION_LOST","TEST"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","TEST"
"TID_TROPHIES","TEST"
"TID_PRACTICE","TEST"
"TID_READY","TEST"
"TID_BATTLE_END_TITLE_VICTORY","TEST"
"TID_BATTLE_END_TITLE_DEFEAT","TEST"
"TID_BATTLE_END_TITLE_DRAW","TEST"
"TID_BATTLE_END_DEATHMATCH_VICTORY","TEST"
"TID_BATTLE_END_DEATHMATCH_DEFEAT","TEST"
"TID_BATTLE_END_TVST_DRAW_DESC","TEST"
"TID_BATTLE_END_TITLE_RAID_BOSS_VICTORY","TEST"
"TID_BATTLE_END_TITLE_RAID_BOSS_DEFEAT","TEST"
"TID_BATTLE_END_RETURN_HOME","TEST"
"TID_BATTLE_END_NEXT","TEST"
"TID_BATTLE_END_TAP","TEST"
"TID_BATTLE_END_NO_PRACTISE_TROPHIES","TEST"
"TID_BATTLE_END_PLAY_AGAIN","TEST"
"TID_BATTLE_END_PLAY_AGAIN_CANCEL","TEST"
"TID_BATTLE_END_PLAY_AGAIN_READY_PLAYERS","TEST"
"TID_BATTLE_END_PLAY_AGAIN_PLAYERS","TEST"
"TID_BATTLE_END_PLAY_AGAIN_TIMER","TEST"
"TID_BATTLE_END_NEW_MEMBER_TO_GAMEROOM","TEST"
"TID_BATTLE_END_OVERWHELMING_VICTORY","TEST"
"TID_BATTLE_END_OVERWHELMING_VICTORY_LONG","TEST"
"TID_RESPAWNING","TEST"
"TID_TEAMS_POPUP_TITLE","TEST"
"TID_TEAMS_POPUP_SUBTITLE_IN_CLAN","TEST"
"TID_TEAMS_POPUP_SUBTITLE_NOT_IN_CLAN","TEST"
"TID_TEAMS_POPUP_SEARCH","TEST"
